run_id,vuln_id,timestamp,patch_url,duration,input_tokens,cached_input_tokens,output_tokens,total_tokens,agent,agent_model,resume_flag,agent_reasoning,crash_resolved
arvo-437162340-vul-1767757845,437162340,1/7/2026 3:54,https://github.com/ntop/nDPI/commit/81c4a0f08c48c17988aad2441cc14c26f8c3ea8e,174.2290904521942,182130,152448,10270,192400,codex,gpt-5.1-codex-max,0,"Fixed hostname validation to honor the provided length before dereferencing data, eliminating reads past the buffer on non–null-terminated SNI strings and enforcing per-label rules consistently.

- `src/lib/ndpi_utils.c:3235-3286` reorders the zero-length/NULL guard, iterates with `idx < len` before accessing `p[idx]`, uses the current character instead of the base pointer, checks that each label ends with an alphanumeric character, and casts to `unsigned char` for `isalnum`, preventing the MSan use-of-uninitialized-value from length-bounded hostnames.

Tests not run (not requested); consider rerunning the QUIC/TLS fuzz target to confirm.",0
arvo-437162340-vul-1767759668,437162340,1/7/2026 4:27,https://github.com/ntop/nDPI/commit/81c4a0f08c48c17988aad2441cc14c26f8c3ea8e,316.2621359825134,1643974,1505024,16647,1660621,codex,gpt-5.1-codex-max,1,"- Tightened hostname validation in `scratch_fs/arvo-437162340-vul-1767759668/src/ndpi/src/lib/ndpi_utils.c`: added zero-length guard, iterate using the indexed character, ensure labels checked against their actual previous character, and cast end-of-label checks to unsigned char. This avoids reading uninitialized data when validating hostnames from reassembled buffers.
- Tests not run (not requested). Consider rerunning the MSan fuzz target (`fuzz_quic_get_crypto_data`) to confirm the crash no longer reproduces.",
arvo-437162340-vul-1767849256,437162340,1/8/2026 5:17,https://github.com/ntop/nDPI/commit/81c4a0f08c48c17988aad2441cc14c26f8c3ea8e,150.89707136154175,933438,832128,7554,940992,codex,gpt-5.1-codex-max,1,"Updated hostname validation to avoid uninitialized reads in `scratch_fs/arvo-437162340-vul-1767849256/src/ndpi/src/lib/ndpi_utils.c`: added zero-length guard, use indexed character during parsing, ensure label boundary checks look at the preceding character, and cast to unsigned char for final label check. Tests not run; please rerun `fuzz_quic_get_crypto_data` to confirm the MSan crash is resolved.",
arvo-42541206-vul-1767932303,42541206,1/9/2026 4:29,https://git.ffmpeg.org/gitweb/ffmpeg.git/commitdiff/2c1613ac94d07fd85e8831bb7aa7eb4bec707285,288.39255237579346,461956,370688,18167,480123,codex,gpt-5.1-codex-max,0,"Updated the CFHD peak-table handling to guard against invalid offsets and overreads.

- Added tracked size and unsigned offset for peak tables so we know how many 16-bit entries remain: `libavcodec/cfhd.h:71-76`.
- Protected `peak_table` reads by validating the base pointer, stopping when data runs out, and dropping the peak level to avoid further use: `libavcodec/cfhd.c:132-147`.
- Validated peak offset tags against the packet boundaries, resetting size and rejecting invalid offsets before using them: `libavcodec/cfhd.c:549-576`.

Tests not run (not requested): please run your preferred ffmpeg test or the CFHD fuzzer input to confirm. Natural next steps: 1) run the CFHD fuzzer/regression sample to confirm the crash is gone; 2) decode a known-good CFHD clip to ensure behaviour remains correct.",1
arvo-419085594-vul-1767938596,419085594,1/9/2026 6:08,https://github.com/php/php-src/commit/dd3a098a9bf967831e889d2e19e873d09c71c9b9,277.53684639930725,476314,398336,15651,491965,codex,gpt-5.1-codex-max,0,"Protected `ZEND_ASSIGN_DIM_OP` against re-entrancy that freed the target array while fetching the operand (e.g., undefined CV notice invoking a user error handler). Added temporary GC ref on the array during the handler and released it on all exits so the element pointer stays valid when the operand fetch triggers userland.
- Zend/zend_vm_def.h:1151-1207 — introduce `ht`/`ht_protected` guard, use the guarded hash table for inserts/fetches, and ensure refcount is dropped on success and error paths (including `assign_dim_op_ret_null`).

Tests not run here; please run the relevant Zend VM/array assignment tests or the fuzzer to confirm.",0
arvo-396958483-vul-1768024216,396958483,1/10/2026 5:54,https://github.com/ArtifexSoftware/mupdf/commit/1cae05c192654334ae1afd46fff8bfd3c4190fc6,197.7993323802948,519247,373248,9966,529213,codex,gpt-5.1-codex-max,0,"Fixed the UAF by preventing `xml_to_boxes` from freeing the entire story pool during exception unwinding, so `convert_to_boxes` no longer touches freed memory while running its `fz_always` cleanup.

- Updated `source/html/html-parse.c:1755-1759` to drop only the built box hierarchy and reset `tree->root` on error instead of calling `fz_drop_html_tree`, avoiding premature pool destruction of embedded `fz_story`/`fz_html` instances.

Tests not run (not requested / none available here). If needed, run the relevant mupdf tests or the pdf fuzzer to validate.",1
arvo-370032378-vul-1768024668,370032378,1/10/2026 6:15,https://github.com/ArtifexSoftware/mupdf/commit/8e5603875e9812e62b361637acd1afaa89a7f778,973.7901656627655,7920543,7017984,37523,7958066,codex,gpt-5.1-codex-max,0,"- Initialized glyph advance and translation defaults in `pdf_tos_make_trm` so malformed fonts with unexpected `wmode` no longer leave `adv`/char offsets undefined before use (`source/pdf/pdf-interpret.c:1312-1339`).

Tests:
- `MSAN_OPTIONS=halt_on_error=1 ./build/debug/mutool draw -o out-msan.png /home/ngibson/repos/ARVO-Codex-Logger/scratch_fs/arvo-370032378-vul-1768024668/tmp/poc` (custom msan build) — no use-of-uninitialized reports.",1
arvo-42530547-vul-1768025727,42530547,1/10/2026 6:17,https://github.com/OpenSC/OpenSC/commit/2fb0d735b433a7d5618865be5280e41e78362b5e,73.88281154632568,167332,124928,3903,171235,codex,gpt-5.1-codex-max,0,"Stack overflow came from passing an `int` length pointer where ASN.1 decode expects a `size_t*`, so the decoder read 8 bytes past `ivlen`. I switched the DES IV length tracking to `size_t` and used `sizeof` for comparisons/allocation to match the decoder’s expectations.

- `src/libopensc/pkcs15-algo.c:43-74`: `ivlen` is now a `size_t`, comparisons/copies use `sizeof(iv)`, and DES params encoding/decoding passes the correctly sized length pointer.

Tests not run (not requested). Consider rerunning the failing fuzz target to confirm the overflow is gone.",1
arvo-437162340-vul-1768025936,437162340,1/10/2026 6:30,https://github.com/ntop/nDPI/commit/81c4a0f08c48c17988aad2441cc14c26f8c3ea8e,606.1109490394592,4218779,3789184,24324,4243103,codex,gpt-5.1-codex-max,0,"- Zero out `ndpi_bin` before setting fields so the union pointer is initialized to NULL even when `ndpi_calloc` fails, preventing MSan from reading an uninitialized pointer during later guard checks (e.g., allocation-failure paths in fuzz targets). Updated `src/lib/ndpi_analyze.c:358-365`.

Tests: not run (autoconf toolchain missing in this environment).

Next steps: 1) Rebuild with autoconf available and rerun the MSan reproducer/fuzzer to confirm the uninitialized read is gone. 2) Run the fuzz targets touching bin handling (`fuzz_alg_bins`, etc.) to exercise the allocation-failure path.",0
arvo-42538183-vul-1768026797,42538183,1/10/2026 6:38,https://github.com/mruby/mruby/commit/fddc7650cac071a6986dcd12264a8beef31f82b2,233.51160621643066,508627,478336,11814,520441,codex,gpt-5.1-codex-max,0,"Updated bigint rational construction to coerce both numerator and denominator to bigints before reduction, preventing invalid `RBIGINT` casts that caused `mpz_set` to read from garbage memory. Changes in `mrbgems/mruby-rational/src/rational.c:229-232`. I didn't run tests here; consider running the rational/bigint test suite or fuzz target to confirm.",1
arvo-42534486-vul-1768027211,42534486,1/10/2026 6:42,https://github.com/mruby/mruby/commit/75de0020587c8b91616e7e81f3c39c9cdc1b362a,60.07949376106262,93851,81024,2152,96003,codex,gpt-5.1-codex-max,0,"Initialized the freshly allocated VM stack to nil so GC marking no longer reads uninitialized stack slots before they’re written (`src/vm.c:119-131`, added `stack_clear(c->stbase, STACK_INIT_SIZE)`).

Tests not run (not requested). Next step: run the mruby test suite or the fuzzer to confirm the sanitizer warning is gone.",0
arvo-42531502-vul-1768027428,42531502,1/10/2026 6:49,https://github.com/wolfssl/wolfssl/commit/461cf9ea71235d41a38501aebdf678c4a569562b,224.9017150402069,704435,596608,9655,714090,codex,gpt-5.1-codex-max,0,"- Initialized the stack `EncryptedInfo` before `PemToDer` in `src/ssl.c:7879-7885` to prevent reading uninitialized fields when attempting to parse a CRL embedded in a PEM chain (was leaving random data in `info`, triggering use-of-uninitialized-value and potential crashes).  

Tests not run (not requested); consider exercising PEM/CRL loading when built with `WOLFSSL_WPAS` and `HAVE_CRL`.",0
arvo-42531212-vul-1768028264,42531212,1/10/2026 7:06,https://gitlab.gnome.org/GNOME/libxml2/-/commit/69d88566b6063b6e11f473fccddaa0174b60d6a6,513.1430759429932,2124026,1937536,27744,2151770,codex,gpt-5.1-codex-max,0,"Added a guard in `buf.c:1026-1034` to clamp the requested cursor position to the amount of initialized data before updating `input->base/cur/end`. This prevents parser pointers from landing in freshly reallocated (and uninitialized) buffer space after `xmlParserGrow`, which was triggering the MSan use-of-uninitialized read in `htmlCurrentChar`.

- Changed: `buf.c` (lines ~1026-1034) – limit `pos` to `buf->use` before setting `input` pointers.

Tests not run; let me know if you want a specific suite executed.",0
arvo-42529030-vul-1768028888,42529030,1/10/2026 7:18,https://gitlab.gnome.org/GNOME/libxml2/-/commit/fef12ed81619c79729bf66a906701308a02d6b2b,571.9994914531708,1196539,915328,31852,1228391,codex,gpt-5.1-codex-max,0,"- Ensured entity loading updates parser input pointers after growing the input buffer, using `xmlBufUpdateInput` (with a note) so error reporting can’t read from a reallocated/freed buffer (`parser.c:8271-8282`).

Tests not run (not requested).",1
arvo-42528951-vul-1768029561,42528951,1/10/2026 7:24,https://gitlab.gnome.org/GNOME/libxml2/-/commit/4fc5340ec55a12cd6819395030d5d132a219984a,272.6310329437256,442295,383616,15811,458106,codex,gpt-5.1-codex-max,0,"Added robust buffer growth in comment parsing so xmlCopyCharMultiByte always has room for multibyte chars and terminator, even when starting from tiny buffers. Changes: `parser.c:4950-4977` now compute needed space with overflow guard and loop reallocation until the buffer is large enough, preventing heap overwrite when small initial allocations meet multi-byte comment content.

Tests not run (not requested / constrained here). You may want to rerun the sanitizer/fuzzer harness to confirm the overflow is gone.",0
